userId,movieId,tag,id
2,60756,funny,54a52c9e-1a43-4be0-95ab-423a96ae5e96
2,60756,Highly quotable,54a52c9e-1a43-4be0-95ab-423a96ae5e96
2,60756,will ferrell,54a52c9e-1a43-4be0-95ab-423a96ae5e96
2,89774,Boxing story,64308d7d-8130-49b4-a295-6f09dbcfdac9
2,89774,MMA,64308d7d-8130-49b4-a295-6f09dbcfdac9
2,89774,Tom Hardy,64308d7d-8130-49b4-a295-6f09dbcfdac9
2,106782,drugs,27c2bb5c-e37d-4dba-9cb2-c968c7634b1b
2,106782,Leonardo DiCaprio,27c2bb5c-e37d-4dba-9cb2-c968c7634b1b
2,106782,Martin Scorsese,27c2bb5c-e37d-4dba-9cb2-c968c7634b1b
7,48516,way too long,4d10936f-a4ff-4c6c-a373-a9f46c61f9f8
18,431,Al Pacino,84e643d6-c43a-46c2-af72-d60817ec79d5
18,431,gangster,84e643d6-c43a-46c2-af72-d60817ec79d5
18,431,mafia,84e643d6-c43a-46c2-af72-d60817ec79d5
18,1221,Al Pacino,7a2160bd-9c21-4313-8333-0a4f28473d5c
18,1221,Mafia,7a2160bd-9c21-4313-8333-0a4f28473d5c
18,5995,holocaust,2b733e22-c5fe-414d-8c46-c50ba9eb2497
18,5995,true story,2b733e22-c5fe-414d-8c46-c50ba9eb2497
18,44665,twist ending,351b053c-05ba-4d1e-bb86-f7917d264620
18,52604,Anthony Hopkins,8f545e9e-064f-4b08-ba0d-85aee014b37a
18,52604,courtroom drama,8f545e9e-064f-4b08-ba0d-85aee014b37a
18,52604,twist ending,8f545e9e-064f-4b08-ba0d-85aee014b37a
18,88094,britpop,fa1dae43-f3fe-4258-99d0-d2f3c7e4d570
18,88094,indie record label,fa1dae43-f3fe-4258-99d0-d2f3c7e4d570
18,88094,music,fa1dae43-f3fe-4258-99d0-d2f3c7e4d570
18,144210,dumpster diving,0f9f63ce-1720-44e8-b611-39c936eee0e1
18,144210,Sustainability,0f9f63ce-1720-44e8-b611-39c936eee0e1
21,119141,bloody,fab5ddea-23d8-43a8-b7b7-4689596275df
49,109487,black hole,2ea5511d-d1be-4bbd-b7eb-d4f59b07fa77
49,109487,sci-fi,2ea5511d-d1be-4bbd-b7eb-d4f59b07fa77
49,109487,time-travel,2ea5511d-d1be-4bbd-b7eb-d4f59b07fa77
62,2,fantasy,ca365f98-0022-4bf5-b0e1-53fefe04648e
62,2,magic board game,ca365f98-0022-4bf5-b0e1-53fefe04648e
62,2,Robin Williams,ca365f98-0022-4bf5-b0e1-53fefe04648e
62,110,beautiful scenery,1cd4e844-895c-45d9-919b-862435062998
